scenario,scenario_name,agent_family,agent_id,route_date,formatted_date,total_customers,valid_coord_customers,invalid_coord_customers,coord_percentage,customer_range,description,coord_status,distributor_id,priority
1,"Agent with >60 customers, ALL valid coords",SK,SK-SAT4,2025-09-04,04/09/2025,61,61,0,100.0,>60 (61),"Agent with >60 (61) customers ""SK-SAT4"" on ""04/09/2025""","(61 valid coords, 0 invalid coords - 100.0%)",11814,High - Perfect for optimization
1,"Agent with >60 customers, ALL valid coords",SK,SK-SAT4,2025-09-18,18/09/2025,61,61,0,100.0,>60 (61),"Agent with >60 (61) customers ""SK-SAT4"" on ""18/09/2025""","(61 valid coords, 0 invalid coords - 100.0%)",11814,High - Perfect for optimization
1,"Agent with >60 customers, ALL valid coords",SK,SK-SAT5,2025-09-03,03/09/2025,62,62,0,100.0,>60 (62),"Agent with >60 (62) customers ""SK-SAT5"" on ""03/09/2025""","(62 valid coords, 0 invalid coords - 100.0%)",11814,High - Perfect for optimization
1,"Agent with >60 customers, ALL valid coords",SK,SK-SAT5,2025-09-04,04/09/2025,63,63,0,100.0,>60 (63),"Agent with >60 (63) customers ""SK-SAT5"" on ""04/09/2025""","(63 valid coords, 0 invalid coords - 100.0%)",11814,High - Perfect for optimization
1,"Agent with >60 customers, ALL valid coords",SK,SK-SAT5,2025-09-08,08/09/2025,67,67,0,100.0,>60 (67),"Agent with >60 (67) customers ""SK-SAT5"" on ""08/09/2025""","(67 valid coords, 0 invalid coords - 100.0%)",11814,High - Perfect for optimization
1,"Agent with >60 customers, ALL valid coords",SK,SK-SAT5,2025-09-17,17/09/2025,67,67,0,100.0,>60 (67),"Agent with >60 (67) customers ""SK-SAT5"" on ""17/09/2025""","(67 valid coords, 0 invalid coords - 100.0%)",11814,High - Perfect for optimization
1,"Agent with >60 customers, ALL valid coords",SK,SK-SAT5,2025-09-18,18/09/2025,62,62,0,100.0,>60 (62),"Agent with >60 (62) customers ""SK-SAT5"" on ""18/09/2025""","(62 valid coords, 0 invalid coords - 100.0%)",11814,High - Perfect for optimization
1,"Agent with >60 customers, ALL valid coords",SK,SK-SAT5,2025-09-22,22/09/2025,63,63,0,100.0,>60 (63),"Agent with >60 (63) customers ""SK-SAT5"" on ""22/09/2025""","(63 valid coords, 0 invalid coords - 100.0%)",11814,High - Perfect for optimization
2,"Agent with >60 customers, MIXED valid/invalid coords",SK,SK-SAT4,2025-09-11,11/09/2025,61,49,12,80.3,>60 (61),"Agent with >60 (61) customers ""SK-SAT4"" on ""11/09/2025""","(49 valid coords, 12 invalid coords - 80.3%)",11814,High - Good for optimization with some fixes needed
2,"Agent with >60 customers, MIXED valid/invalid coords",SK,SK-SAT4,2025-09-25,25/09/2025,61,49,12,80.3,>60 (61),"Agent with >60 (61) customers ""SK-SAT4"" on ""25/09/2025""","(49 valid coords, 12 invalid coords - 80.3%)",11814,High - Good for optimization with some fixes needed
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-PMS1,2025-09-20,20/09/2025,30,30,0,100.0,30-60 (30),"Agent with 30-60 (30) customers ""SK-PMS1"" on ""20/09/2025""","(30 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-PMS1,2025-09-23,23/09/2025,31,31,0,100.0,30-60 (31),"Agent with 30-60 (31) customers ""SK-PMS1"" on ""23/09/2025""","(31 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-PMS1,2025-09-27,27/09/2025,30,30,0,100.0,30-60 (30),"Agent with 30-60 (30) customers ""SK-PMS1"" on ""27/09/2025""","(30 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT2,2025-09-25,25/09/2025,47,47,0,100.0,30-60 (47),"Agent with 30-60 (47) customers ""SK-SAT2"" on ""25/09/2025""","(47 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT2,2025-09-27,27/09/2025,50,50,0,100.0,30-60 (50),"Agent with 30-60 (50) customers ""SK-SAT2"" on ""27/09/2025""","(50 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT2,2025-09-29,29/09/2025,47,47,0,100.0,30-60 (47),"Agent with 30-60 (47) customers ""SK-SAT2"" on ""29/09/2025""","(47 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT3,2025-09-23,23/09/2025,55,55,0,100.0,30-60 (55),"Agent with 30-60 (55) customers ""SK-SAT3"" on ""23/09/2025""","(55 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT3,2025-09-26,26/09/2025,55,55,0,100.0,30-60 (55),"Agent with 30-60 (55) customers ""SK-SAT3"" on ""26/09/2025""","(55 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT3,2025-09-29,29/09/2025,55,55,0,100.0,30-60 (55),"Agent with 30-60 (55) customers ""SK-SAT3"" on ""29/09/2025""","(55 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT6,2025-09-23,23/09/2025,58,58,0,100.0,30-60 (58),"Agent with 30-60 (58) customers ""SK-SAT6"" on ""23/09/2025""","(58 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT6,2025-09-26,26/09/2025,58,58,0,100.0,30-60 (58),"Agent with 30-60 (58) customers ""SK-SAT6"" on ""26/09/2025""","(58 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
3,"Agent with 30-60 customers, ALL valid coords",SK,SK-SAT6,2025-09-29,29/09/2025,58,58,0,100.0,30-60 (58),"Agent with 30-60 (58) customers ""SK-SAT6"" on ""29/09/2025""","(58 valid coords, 0 invalid coords - 100.0%)",11814,Medium - Good for optimization
4,"Agent with 30-60 customers, MIXED valid/invalid coords",PVM,PVM-KAR01,2025-09-22,22/09/2025,53,2,51,3.8,30-60 (53),"Agent with 30-60 (53) customers ""PVM-KAR01"" on ""22/09/2025""","(2 valid coords, 51 invalid coords - 3.8%)",11814,Medium - Needs coordinate fixing before optimization
4,"Agent with 30-60 customers, MIXED valid/invalid coords",PVM,PVM-PRE01,2025-09-08,08/09/2025,34,11,23,32.4,30-60 (34),"Agent with 30-60 (34) customers ""PVM-PRE01"" on ""08/09/2025""","(11 valid coords, 23 invalid coords - 32.4%)",11814,Medium - Needs coordinate fixing before optimization
4,"Agent with 30-60 customers, MIXED valid/invalid coords",PVM,PVM-PRE01,2025-09-22,22/09/2025,34,11,23,32.4,30-60 (34),"Agent with 30-60 (34) customers ""PVM-PRE01"" on ""22/09/2025""","(11 valid coords, 23 invalid coords - 32.4%)",11814,Medium - Needs coordinate fixing before optimization
4,"Agent with 30-60 customers, MIXED valid/invalid coords",REM,REM-KAS7,2025-09-22,22/09/2025,52,1,51,1.9,30-60 (52),"Agent with 30-60 (52) customers ""REM-KAS7"" on ""22/09/2025""","(1 valid coords, 51 invalid coords - 1.9%)",11814,Medium - Needs coordinate fixing before optimization
4,"Agent with 30-60 customers, MIXED valid/invalid coords",REM,REM-PMS1,2025-09-10,10/09/2025,32,2,30,6.2,30-60 (32),"Agent with 30-60 (32) customers ""REM-PMS1"" on ""10/09/2025""","(2 valid coords, 30 invalid coords - 6.2%)",11814,Medium - Needs coordinate fixing before optimization
4,"Agent with 30-60 customers, MIXED valid/invalid coords",REM,REM-PMS1,2025-09-24,24/09/2025,32,2,30,6.2,30-60 (32),"Agent with 30-60 (32) customers ""REM-PMS1"" on ""24/09/2025""","(2 valid coords, 30 invalid coords - 6.2%)",11814,Medium - Needs coordinate fixing before optimization
5,"Agent with <60 customers, NO valid coords",PVM,PVM-KAR01,2025-09-19,19/09/2025,8,0,8,0.0,<60 (8),"Agent with <60 (8) customers ""PVM-KAR01"" on ""19/09/2025""","(0 valid coords, 8 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",PVM,PVM-KAR01,2025-09-26,26/09/2025,9,0,9,0.0,<60 (9),"Agent with <60 (9) customers ""PVM-KAR01"" on ""26/09/2025""","(0 valid coords, 9 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",PVM,PVM-KAR01,2025-09-29,29/09/2025,3,0,3,0.0,<60 (3),"Agent with <60 (3) customers ""PVM-KAR01"" on ""29/09/2025""","(0 valid coords, 3 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",PVM,PVM-KAR02,2025-09-13,13/09/2025,5,0,5,0.0,<60 (5),"Agent with <60 (5) customers ""PVM-KAR02"" on ""13/09/2025""","(0 valid coords, 5 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",PVM,PVM-KAR02,2025-09-20,20/09/2025,13,0,13,0.0,<60 (13),"Agent with <60 (13) customers ""PVM-KAR02"" on ""20/09/2025""","(0 valid coords, 13 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",PVM,PVM-KAR02,2025-09-27,27/09/2025,2,0,2,0.0,<60 (2),"Agent with <60 (2) customers ""PVM-KAR02"" on ""27/09/2025""","(0 valid coords, 2 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",REM,REM-KAS7,2025-09-20,20/09/2025,8,0,8,0.0,<60 (8),"Agent with <60 (8) customers ""REM-KAS7"" on ""20/09/2025""","(0 valid coords, 8 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",REM,REM-KAS7,2025-09-25,25/09/2025,15,0,15,0.0,<60 (15),"Agent with <60 (15) customers ""REM-KAS7"" on ""25/09/2025""","(0 valid coords, 15 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",REM,REM-PMS1,2025-09-18,18/09/2025,7,0,7,0.0,<60 (7),"Agent with <60 (7) customers ""REM-PMS1"" on ""18/09/2025""","(0 valid coords, 7 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
5,"Agent with <60 customers, NO valid coords",REM,REM-PMS1,2025-09-22,22/09/2025,12,0,12,0.0,<60 (12),"Agent with <60 (12) customers ""REM-PMS1"" on ""22/09/2025""","(0 valid coords, 12 invalid coords - 0.0%)",11814,Low - Needs coordinate data before optimization
