store,latitude,longitude,dayno,sequence,distancetonextstore
7K010857,6.07029833,125.1429533,1,1,0.042
7K010668,6.06996833,125.1427733,1,2,0.069
7K010670,6.07042,125.1423483,1,3,0.015
7K010671,6.07036167,125.1422267,1,4,0.044
7K010739,6.07075,125.1421467,1,5,0.008
7K010022,6.07082,125.142125,1,6,0.021
7K010018,6.070845,125.142315,1,7,0.02
7K010028,6.07083333,125.1424933,1,8,0.053
7K010077,6.07101167,125.1429417,1,9,0.037
7K010003,6.071345,125.1429,1,10,0.011
7K010017,6.07140167,125.1429867,1,11,0.007
7K010005,6.07146167,125.1429867,1,12,0.025
7K010016,6.07169,125.1430067,1,13,0.018
7K010078,6.07180667,125.1428933,1,14,0.031
7K010006,6.07208333,125.1428667,1,15,0.078
7K010019,6.071655,125.14231,1,16,0.022
7K010020,6.07161833,125.1421117,1,17,0.021
7K010021,6.071435,125.1421383,1,18,0.082
7K010672,6.07085667,125.141685,1,19,0.066
7K010332,6.07080333,125.141095,1,20,0.032
7K010333,6.07082,125.1408067,1,21,0.039
7K010337,6.07117167,125.1408417,1,22,0.02
7K010334,6.07124333,125.1406783,1,23,0.03
7K010350,6.07107167,125.1404683,1,24,0.01
7K010467,6.071005,125.1404083,1,25,0.03
7K010351,6.07074333,125.1403367,1,26,0.037
7K010469,6.07085667,125.1400233,1,27,0.011
7K010352,6.07095833,125.14004,1,28,0.04
7K010353,6.07132,125.140025,1,29,0.024
7K010354,6.071535,125.1400417,1,30,0.026
7K010345,6.07157667,125.1402767,1,31,0.016
7K010347,6.07143167,125.140305,1,32,0.022
7K010344,6.071565,125.14045,1,33,0.016
7K010346,6.071625,125.1405783,1,34,0.007
7K010372,6.07161,125.14064,1,35,0.013
7K010343,6.07159,125.140755,1,36,0.007
7K010338,6.07161833,125.1408133,1,37,0.021
7K010340,6.07163833,125.1410017,1,38,0.026
7K010113,6.07159167,125.14123,1,39,0.011
7K010027,6.071535,125.1413117,1,40,0.001
7K010025,6.07152833,125.1413233,1,41,0.039
7K010026,6.071875,125.1412483,1,42,0.075
7K010335,6.07123167,125.1410483,1,43,0.093
7K010638,6.07039167,125.1410483,1,44,0.021
7K010637,6.07040167,125.1408583,1,45,0.046
7K010641,6.07040333,125.1412717,1,46,0.049
7K010632,6.07002667,125.1410433,1,47,0.042
7K010642,6.06968,125.1408867,1,48,0.042
7K010696,6.06971,125.1412667,1,49,0.034
7K010650,6.069405,125.1412367,1,50,0.094
7K010375,6.06992667,125.140565,1,51,0.064
7K010371,6.07006167,125.140005,1,52,0.032
7K010634,6.070345,125.1399483,1,53,0.016
7K010640,6.07035667,125.1400917,1,54,0.158
7K010472,6.07177667,125.140035,1,55,0.022
7K010363,6.071965,125.1400967,1,56,0.009
7K010355,6.07197333,125.1401733,1,57,0.02
7K010362,6.0721,125.140045,1,58,0.015
7K010474,6.07222333,125.1400883,1,59,0.033
7K010360,6.07237667,125.14034,1,60,0.0
7K014205,6.08700833,125.13184,2,1,0.021
7K014113,6.08681833,125.1318683,2,2,0.044
7K013917,6.08679167,125.132265,2,3,0.043
7K013895,6.08711667,125.1324783,2,4,0.106
7K013869,6.08806333,125.1323867,2,5,0.066
7K013896,6.08838167,125.1318867,2,6,0.016
7K013870,6.08831833,125.1317567,2,7,0.01
7K013894,6.08825833,125.1316867,2,8,0.032
7K014114,6.08814667,125.13142,2,9,0.019
7K014119,6.08810333,125.1312517,2,10,0.036
7K014210,6.08792667,125.1315233,2,11,0.016
7K014120,6.08778833,125.1315433,2,12,0.082
7K013893,6.08848167,125.131295,2,13,0.031
7K013930,6.08874,125.1312,2,14,0.011
7K014206,6.08882333,125.1311433,2,15,0.03
7K014117,6.08882333,125.1308733,2,16,0.058
7K014116,6.08836667,125.1306217,2,17,0.106
7K014115,6.08931833,125.13071,2,18,0.058
7K013898,6.08956833,125.13117,2,19,0.004
7K013926,6.08956667,125.1312017,2,20,0.023
7K013892,6.08937667,125.1312717,2,21,0.054
7K013929,6.08893333,125.1314617,2,22,0.059
7K013897,6.08920833,125.1319167,2,23,0.064
7K013871,6.088635,125.1319033,2,24,0.22
7K013872,6.09045333,125.13112,2,25,0.023
7K013907,6.09061,125.1312617,2,26,0.038
7K013886,6.09084667,125.1310117,2,27,0.028
7K013888,6.090945,125.1307783,2,28,0.063
7K013890,6.09102,125.1302117,2,29,0.052
7K013925,6.090555,125.130275,2,30,0.025
7K013891,6.09033,125.1302483,2,31,0.127
7K013889,6.09143667,125.1299667,2,32,0.151
7K013885,6.09123167,125.1313167,2,33,0.021
7K013910,6.09109833,125.131455,2,34,0.033
7K013873,6.09086667,125.1316433,2,35,0.028
7K013908,6.09098833,125.131865,2,36,0.006
7K013875,6.091045,125.13186,2,37,0.006
7K013874,6.09105333,125.1319133,2,38,0.024
7K013911,6.09118333,125.1320883,2,39,0.042
7K013877,6.09156,125.1320783,2,40,0.065
7K013884,6.09214333,125.13205,2,41,0.05
7K013883,6.09246667,125.1323617,2,42,0.027
7K013878,6.092265,125.132505,2,43,0.053
7K013879,6.09210167,125.1329567,2,44,0.025
7K013913,6.09194167,125.13311,2,45,0.041
7K013880,6.09208667,125.1334533,2,46,0.101
7K013914,6.092605,125.1342067,2,47,0.062
7K013881,6.09286833,125.1347,2,48,0.024
7K013882,6.09269667,125.1348333,2,49,0.37
7K013876,6.090795,125.13209,2,50,0.18
7K013887,6.09221833,125.13131,2,51,0.594
7K013612,6.088235,125.127735,2,52,0.05
7K013689,6.08784167,125.1279617,2,53,0.394
7K014121,6.08652833,125.1312717,2,54,0.048
7K014122,6.08610833,125.131385,2,55,0.059
7K014204,6.08587333,125.1318667,2,56,0.038
7K013918,6.08565667,125.1321283,2,57,0.043
7K013868,6.08583,125.1324767,2,58,0.114
7K014123,6.08554333,125.1314833,2,59,0.661
7K012704,6.08939833,125.136035,2,60,0.0
7K016363,6.08937,125.1493567,3,1,0.047
7K016405,6.08909,125.1490367,3,2,0.004
7K016358,6.08908167,125.149005,3,3,0.007
7K016354,6.0891,125.1489433,3,4,0.032
7K016272,6.08884167,125.1490683,3,5,0.021
7K016406,6.08886833,125.1492583,3,6,0.005
7K016359,6.08882167,125.1492683,3,7,0.057
7K016269,6.08848,125.1488783,3,8,0.024
7K016268,6.088535,125.148665,3,9,0.011
7K016267,6.08854667,125.1485667,3,10,0.023
7K016266,6.08850333,125.148365,3,11,0.043
7K016270,6.08822833,125.1486367,3,12,0.03
7K016402,6.08804833,125.148835,3,13,0.138
7K016362,6.08880333,125.1498217,3,14,0.046
7K016259,6.08909167,125.15012,3,15,0.019
7K016260,6.08925667,125.1500617,3,16,0.017
7K016407,6.089265,125.1499117,3,17,0.062
7K016257,6.08893167,125.1503583,3,18,0.025
7K016271,6.08890833,125.1505833,3,19,0.027
7K016409,6.088905,125.15083,3,20,0.011
7K016256,6.08892167,125.1509317,3,21,0.016
7K013557,6.08901833,125.1510383,3,22,0.016
7K013553,6.08889833,125.1511167,3,23,0.013
7K013550,6.08883167,125.1512083,3,24,0.025
7K013548,6.08890667,125.1514217,3,25,0.046
7K013195,6.088855,125.15183,3,26,0.004
7K013194,6.08882833,125.15186,3,27,0.006
7K013178,6.08877167,125.1518583,3,28,0.02
7K013193,6.08887667,125.152005,3,29,0.023
7K013541,6.08902833,125.1521433,3,30,0.033
7K013181,6.08891333,125.15242,3,31,0.013
7K013188,6.088965,125.1525217,3,32,0.022
7K013189,6.08915833,125.15257,3,33,0.011
7K013190,6.08925167,125.1525933,3,34,0.02
7K013191,6.08921167,125.1527717,3,35,0.089
7K013183,6.08848167,125.1531033,3,36,0.016
7K013187,6.08834833,125.1531617,3,37,0.024
7K013540,6.088315,125.1529467,3,38,0.043
7K013186,6.08813833,125.1532967,3,39,0.106
7K013536,6.08823333,125.1523433,3,40,0.011
7K013535,6.08824333,125.152245,3,41,0.011
7K013533,6.088145,125.1522417,3,42,0.038
7K013198,6.08828833,125.1519333,3,43,0.006
7K013199,6.088245,125.151905,3,44,0.004
7K013175,6.08821833,125.1518767,3,45,0.016
7K013197,6.08833833,125.15195,3,46,0.015
7K013176,6.08838833,125.151825,3,47,0.014
7K013177,6.088515,125.15181,3,48,0.013
7K013196,6.08856,125.15192,3,49,0.071
7K013562,6.088515,125.15128,3,50,0.016
7K013566,6.088375,125.15128,3,51,0.099
7K013505,6.08783667,125.151995,3,52,0.012
7K013530,6.08773667,125.1519633,3,53,0.019
7K013173,6.08756667,125.1519983,3,54,0.017
7K013172,6.08743,125.151925,3,55,0.005
7K013171,6.087415,125.151965,3,56,0.005
7K013170,6.08737833,125.1519467,3,57,0.01
7K013531,6.08732167,125.152015,3,58,0.223
7K013542,6.08931833,125.1518017,3,59,0.149
7K016262,6.089465,125.1504617,3,60,0.0
7K010617,6.072015,125.1472067,4,1,0.039
7K010625,6.07209333,125.1475517,4,2,0.034
7K010614,6.07235333,125.147705,4,3,0.048
7K010613,6.07221333,125.1481133,4,4,0.032
7K010610,6.07193833,125.14804,4,5,0.011
7K010627,6.07186333,125.1481083,4,6,0.004
7K010628,6.07182667,125.148125,4,7,0.032
7K010434,6.07167167,125.14837,4,8,0.061
7K010051,6.07114167,125.1485233,4,9,0.008
7K010421,6.07106833,125.1485267,4,10,0.012
7K010418,6.07112167,125.14843,4,11,0.053
7K010049,6.071075,125.14891,4,12,0.003
7K010422,6.07104667,125.1489183,4,13,0.015
7K010048,6.07107833,125.1490517,4,14,0.035
7K010629,6.071375,125.14896,4,15,0.069
7K010047,6.07107333,125.1495033,4,16,0.034
7K010046,6.07083167,125.1496883,4,17,0.014
7K010428,6.07073833,125.1497667,4,18,0.027
7K010430,6.0705,125.1497067,4,19,0.033
7K010424,6.07069667,125.1494867,4,20,0.011
7K010425,6.07070333,125.1493883,4,21,0.051
7K010042,6.07024333,125.14941,4,22,0.012
7K010043,6.07021,125.149515,4,23,0.016
7K010044,6.070195,125.149655,4,24,0.057
7K010423,6.07016,125.1491433,4,25,0.06
7K010038,6.07025167,125.148605,4,26,0.028
7K010417,6.07049333,125.1485383,4,27,0.041
7K010416,6.07045,125.1481733,4,28,0.032
7K010036,6.07028833,125.1479317,4,29,0.004
7K010415,6.070255,125.1479383,4,30,0.092
7K010414,6.070985,125.147545,4,31,0.017
7K010413,6.071135,125.147525,4,32,0.004
7K010053,6.07114667,125.14756,4,33,0.013
7K010052,6.07113167,125.147675,4,34,0.029
7K010054,6.07120333,125.14742,4,35,0.01
7K010435,6.07129,125.1474117,4,36,0.028
7K010412,6.07108833,125.1472583,4,37,0.034
7K010055,6.07123833,125.1469883,4,38,0.04
7K010620,6.07152667,125.1472067,4,39,0.014
7K010619,6.07164833,125.147225,4,40,0.035
7K010621,6.07166,125.1475383,4,41,0.113
7K010411,6.07084833,125.1469167,4,42,0.05
7K010034,6.07041,125.1470167,4,43,0.19
7K013859,6.06881333,125.147625,4,44,0.017
7K013858,6.06869167,125.147725,4,45,0.019
7K013857,6.068635,125.1478883,4,46,0.018
7K013856,6.06848333,125.1479533,4,47,0.005
7K013855,6.068445,125.1479683,4,48,0.016
7K013854,6.06830167,125.1479633,4,49,0.012
7K013853,6.06827833,125.148065,4,50,0.017
7K013852,6.06830333,125.148215,4,51,0.034
7K013851,6.068605,125.1481717,4,52,0.034
7K013848,6.06863833,125.1484783,4,53,0.016
7K013850,6.06878,125.1484667,4,54,0.006
7K013847,6.068825,125.148495,4,55,0.027
7K013845,6.06873667,125.1487183,4,56,0.005
7K013846,6.06877833,125.1487383,4,57,0.031
7K013844,6.06850667,125.1488,4,58,0.023
7K013843,6.06831333,125.1487217,4,59,0.029
7K013849,6.06843833,125.1484917,4,60,0.0
7K015973,6.084055,125.1209283,5,1,0.028
7K015971,6.083955,125.12116,5,2,0.014
7K016001,6.08407333,125.1211883,5,3,0.021
7K015964,6.084175,125.1213433,5,4,0.042
7K015965,6.083915,125.1216233,5,5,0.039
7K015967,6.08368667,125.1218917,5,6,0.048
7K015999,6.08326667,125.1217967,5,7,0.072
7K015970,6.08338167,125.12116,5,8,0.039
7K015974,6.083035,125.1211217,5,9,0.033
7K015975,6.08289833,125.1208533,5,10,0.027
7K015972,6.08312667,125.1207783,5,11,0.061
7K016002,6.08366167,125.120885,5,12,0.032
7K016000,6.08379667,125.1211417,5,13,0.107
7K015966,6.08448667,125.1218133,5,14,0.072
7K015963,6.08509833,125.1215983,5,15,0.055
7K015992,6.08557667,125.121465,5,16,0.025
7K015961,6.08564,125.1216817,5,17,0.069
7K015959,6.08559333,125.121055,5,18,0.128
7K015957,6.08635667,125.121925,5,19,0.152
7K013693,6.08718667,125.1230117,5,20,0.127
7K013614,6.08725833,125.1241583,5,21,0.081
7K013210,6.08690167,125.1247967,5,22,0.078
7K013211,6.08642167,125.124285,5,23,0.084
7K013212,6.08581667,125.1247433,5,24,0.006
7K013208,6.08576333,125.1247517,5,25,0.007
7K013216,6.08572333,125.1246983,5,26,0.031
7K013326,6.08545167,125.124745,5,27,0.036
7K013592,6.08513333,125.1248083,5,28,0.01
7K013336,6.08504833,125.1247767,5,29,0.033
7K013617,6.08477833,125.1249083,5,30,0.009
7K013695,6.08471333,125.1249567,5,31,0.032
7K013618,6.084485,125.1247767,5,32,0.058
7K013697,6.08396667,125.1246883,5,33,0.012
7K013619,6.08387,125.12473,5,34,0.125
7K013600,6.08380833,125.1258583,5,35,0.021
7K013601,6.08376833,125.1260417,5,36,0.039
7K013599,6.08394833,125.1263483,5,37,0.03
7K013678,6.0842,125.1264517,5,38,0.008
7K013622,6.08427,125.1264783,5,39,0.02
7K013701,6.08444667,125.1264533,5,40,0.011
7K013677,6.08453667,125.1264083,5,41,0.038
7K013675,6.08487833,125.1264567,5,42,0.052
7K013597,6.0847,125.126025,5,43,0.07
7K013674,6.08505167,125.125505,5,44,0.032
7K013594,6.08506667,125.1252133,5,45,0.053
7K013219,6.08535833,125.1255933,5,46,0.098
7K013262,6.08572,125.1264033,5,47,0.228
7K013217,6.085485,125.1243517,5,48,0.055
7K013288,6.08574167,125.123925,5,49,0.005
7K013325,6.085735,125.1238817,5,50,0.022
7K013214,6.08571,125.123685,5,51,0.394
7K013602,6.08334167,125.1263367,5,52,0.122
7K013228,6.08226,125.1265067,5,53,0.056
7K013603,6.08224,125.1260033,5,54,0.094
7K013621,6.082245,125.1251567,5,55,0.426
7K015980,6.08187667,125.1213217,5,56,0.206
7K015976,6.08231333,125.11951,5,57,0.073
7K015978,6.08287333,125.1191667,5,58,0.074
7K015977,6.08244833,125.1186483,5,59,0.022
7K016052,6.08225667,125.1187083,5,60,0.0
7K016431,6.07800333,125.1463617,6,1,0.027
7K011501,6.07805167,125.146125,6,2,0.009
7K011539,6.07813167,125.1461167,6,3,0.007
7K011506,6.078195,125.14611,6,4,0.015
7K011540,6.07826167,125.146225,6,5,0.006
7K011503,6.07831833,125.1462367,6,6,0.04
7K011538,6.078165,125.14591,6,7,0.012
7K011499,6.07821,125.1458117,6,8,0.016
7K011537,6.07822333,125.1456683,6,9,0.028
7K011516,6.078185,125.1454167,6,10,0.005
7K011498,6.07815833,125.145385,6,11,0.02
7K011543,6.07824167,125.1452233,6,12,0.021
7K011541,6.07840833,125.1451433,6,13,0.011
7K011542,6.07850167,125.1451667,6,14,0.005
7K011508,6.07854333,125.1451633,6,15,0.017
7K011510,6.07847167,125.1450283,6,16,0.014
7K011521,6.07845833,125.1449033,6,17,0.018
7K011528,6.07842667,125.14474,6,18,0.021
7K011544,6.07856667,125.1446167,6,19,0.013
7K011124,6.078605,125.1445017,6,20,0.011
7K011866,6.07850667,125.144495,6,21,0.021
7K011864,6.07832,125.1444983,6,22,0.029
7K011835,6.078445,125.1442633,6,23,0.027
7K011838,6.07862167,125.1441,6,24,0.019
7K011123,6.07866667,125.1439383,6,25,0.023
7K011867,6.07874833,125.143745,6,26,0.035
7K011892,6.07892167,125.1434767,6,27,0.04
7K011861,6.07856333,125.1434433,6,28,0.053
7K011862,6.07875667,125.1430017,6,29,0.097
7K011122,6.07794,125.1433117,6,30,0.034
7K011121,6.07782167,125.14303,6,31,0.112
7K011836,6.078125,125.1439933,6,32,0.006
7K011837,6.07810833,125.1440483,6,33,0.017
7K011865,6.078065,125.1441917,6,34,0.087
7K011844,6.07879833,125.1444783,6,35,0.028
7K011846,6.07903,125.1445883,6,36,0.041
7K011839,6.07877333,125.1448517,6,37,0.054
7K011843,6.07873667,125.1453367,6,38,0.043
7K011842,6.07869833,125.1457217,6,39,0.032
7K011845,6.07893333,125.145885,6,40,0.03
7K011840,6.07871167,125.1460333,6,41,0.065
7K011879,6.07911,125.14646,6,42,0.016
7K011850,6.07918833,125.1465767,6,43,0.095
7K016390,6.07987833,125.1460717,6,44,0.019
7K016389,6.079965,125.1459217,6,45,0.086
7K011851,6.079235,125.14566,6,46,0.028
7K011852,6.07920667,125.1454117,6,47,0.007
7K011849,6.07926333,125.1453833,6,48,0.039
7K011853,6.07930667,125.1450367,6,49,0.009
7K011877,6.07924167,125.144995,6,50,0.095
7K011855,6.07981,125.144355,6,51,0.034
7K011885,6.08008333,125.14421,6,52,0.01
7K011856,6.08013,125.1441333,6,53,0.055
7K011857,6.07981667,125.14375,6,54,0.045
7K011891,6.079445,125.14359,6,55,0.03
7K011848,6.07934167,125.14384,6,56,0.007
7K011884,6.07932833,125.1439017,6,57,0.014
7K011854,6.079315,125.1440267,6,58,0.02
7K011876,6.079135,125.1440283,6,59,0.184
7K011488,6.07794,125.1451783,6,60,0.0
7K014729,6.07455333,125.1248917,7,1,0.038
7K014730,6.07468333,125.12457,7,2,0.048
7K014889,6.074935,125.1249217,7,3,0.019
7K014727,6.07508667,125.1249917,7,4,0.043
7K014888,6.07545,125.12486,7,5,0.005
7K014728,6.07549833,125.12485,7,6,0.142
7K014726,6.07430333,125.12529,7,7,0.043
7K014885,6.07437833,125.1256683,7,8,0.043
7K014725,6.074515,125.1260283,7,9,0.045
7K014871,6.07417667,125.1262583,7,10,0.036
7K014716,6.07406167,125.1259533,7,11,0.071
7K014717,6.07411167,125.1265917,7,12,0.09
7K014723,6.0749,125.1264017,7,13,0.018
7K014883,6.07491667,125.1262367,7,14,0.005
7K014724,6.07488333,125.1262117,7,15,0.149
7K014715,6.07391833,125.1252783,7,16,0.249
7K014718,6.07402833,125.127525,7,17,0.035
7K014721,6.07433833,125.1274917,7,18,0.044
7K014722,6.07449667,125.1278567,7,19,0.048
7K014719,6.07409333,125.12802,7,20,0.264
7K016057,6.074225,125.1304067,7,21,0.034
7K015981,6.07410667,125.1306867,7,22,0.101
7K015954,6.074105,125.1316017,7,23,0.069
7K015951,6.07471833,125.131665,7,24,0.009
7K015986,6.074765,125.1317267,7,25,0.058
7K015952,6.07452667,125.1321983,7,26,0.065
7K015953,6.07473833,125.13275,7,27,0.047
7K015950,6.07516333,125.13277,7,28,0.039
7K015916,6.075145,125.1324183,7,29,0.085
7K015984,6.07533667,125.131675,7,30,0.051
7K015915,6.07579167,125.1316467,7,31,0.006
7K015982,6.07582667,125.1316867,7,32,0.024
7K015914,6.07604,125.1317033,7,33,0.045
7K015979,6.07644667,125.131675,7,34,0.132
7K015968,6.077635,125.13171,7,35,0.068
7K015913,6.07787667,125.1322733,7,36,0.195
7K014133,6.07963167,125.1321767,7,37,0.119
7K014132,6.08069167,125.132025,7,38,0.074
7K014353,6.08135667,125.131955,7,39,0.047
7K014131,6.08174667,125.1317983,7,40,0.083
7K014352,6.08242,125.1321317,7,41,0.471
7K013604,6.081835,125.1279133,7,42,0.006
7K013682,6.08181,125.1278617,7,43,0.816
7K014134,6.07880167,125.1345967,7,44,0.158
7K014135,6.07870167,125.1360217,7,45,0.192
7K012885,6.07873833,125.137755,7,46,0.096
7K012886,6.07787667,125.1377683,7,47,0.04
7K012716,6.07756167,125.1379467,7,48,0.009
7K012887,6.07751333,125.1378833,7,49,0.052
7K012888,6.07771667,125.1383067,7,50,0.027
7K012889,6.07795333,125.1382733,7,51,0.49
7K010862,6.07360667,125.1390083,7,52,0.055
7K010877,6.07312,125.13907,7,53,0.033
7K010863,6.07298333,125.13881,7,54,0.019
7K010943,6.07281667,125.138845,7,55,0.031
7K010864,6.07274333,125.1385767,7,56,0.042
7K010865,6.07239667,125.138425,7,57,0.079
7K010867,6.07197667,125.13785,7,58,0.048
7K010871,6.07157167,125.1379967,7,59,0.67
7K015955,6.07320667,125.1321683,7,60,0.0
7K015338,6.09342667,125.138875,8,1,0.021
7K015339,6.09343,125.1390667,8,2,0.061
7K015340,6.093045,125.1386783,8,3,0.086
7K016714,6.09252833,125.1392517,8,4,0.099
7K016710,6.09190667,125.1386067,8,5,0.053
7K016851,6.09145333,125.1387467,8,6,0.014
7K016719,6.09142333,125.1388717,8,7,0.051
7K016715,6.09140167,125.1384083,8,8,0.101
7K016711,6.09228167,125.1381917,8,9,0.018
7K016712,6.09244,125.1381633,8,10,0.205
7K015337,6.09323167,125.1398383,8,11,0.09
7K015345,6.09317167,125.1406467,8,12,0.088
7K015336,6.09360167,125.1413117,8,13,0.032
7K015346,6.09356833,125.141595,8,14,0.058
7K015347,6.09350333,125.142115,8,15,0.043
7K015335,6.09338333,125.14248,8,16,0.031
7K015328,6.09310667,125.1425083,8,17,0.046
7K015641,6.092955,125.1421217,8,18,0.035
7K015750,6.09264667,125.1421767,8,19,0.037
7K015642,6.09233,125.1420817,8,20,0.028
7K015749,6.09207833,125.14211,8,21,0.024
7K015643,6.09200833,125.1419067,8,22,0.007
7K015751,6.092055,125.1418583,8,23,0.043
7K015640,6.09181,125.142165,8,24,0.02
7K015754,6.09162667,125.1421567,8,25,0.012
7K015644,6.09152167,125.1421767,8,26,0.044
7K015639,6.09124667,125.1424667,8,27,0.081
7K015646,6.09051667,125.1424433,8,28,0.045
7K015638,6.09011167,125.142445,8,29,0.052
7K015764,6.089775,125.1421133,8,30,0.028
7K015647,6.08965333,125.1423333,8,31,0.031
7K015648,6.08938,125.142305,8,32,0.171
7K015636,6.08787333,125.142635,8,33,0.029
7K015811,6.08784167,125.142895,8,34,0.003
7K015649,6.08787,125.1428983,8,35,0.057
